id_estado,estado,ciudad,superficie_km2,lada,ambito,poblacion,altitud,centro,suroeste,noreste
2,Baja California,Lázaro Cárdenas,,646,,,,"(31.4036935, -115.7291715)","(31.3636935, -115.7691715)","(31.4436935, -115.6891715)"
2,Baja California,Mérida,,658,,,,"(32.6607006, -114.9191802)","(32.6407006, -114.9391802)","(32.6807006, -114.8991802)"
2,Baja California,Maneadero,,646,,,,"(31.72370305, -116.57178101224758)","(31.70235, -116.5827016)","(31.7445675, -116.5496933)"
2,Baja California,Marena Cove,,661,,,,,,
2,Baja California,Mexicali,,686,,,,"(32.6248622, -115.448325)","(32.4648622, -115.608325)","(32.7848622, -115.288325)"
2,Baja California,Michoacán de Ocampo,,686,,,,"(32.4647879, -115.3092148)","(32.4247879, -115.3492148)","(32.5047879, -115.2692148)"
2,Baja California,Misión,,646,,,,"(32.09263, -116.8508901)","(32.07263, -116.8708901)","(32.11263, -116.8308901)"
2,Baja California,Nacionalista de Sánchez T.,,646,,,,,,
2,Baja California,Nayarit Llamada,,686,,,,"(32.312666, -115.2465465)","(32.292666, -115.2665465)","(32.332666, -115.2265465)"
2,Baja California,Nuevo León,,686,,,,"(32.4106706, -115.1890214)","(32.3706706, -115.2290214)","(32.4506706, -115.1490214)"
2,Baja California,Ojos Negros Real del Castillo,,646,,,,,,
2,Baja California,Paredones,,658,,,,"(32.6045046, -114.9275442)","(32.5645046, -114.9675442)","(32.6445046, -114.8875442)"
2,Baja California,Poblado Héroes de Chapultepec,,616,,,,"(30.9798099, -116.1643649)","(30.9598099, -116.1843649)","(30.9998099, -116.1443649)"
2,Baja California,Poblado Jesús Sansón Flores,,686,,,,,,
2,Baja California,Popotla,,661,,,,"(32.2816659, -117.0349123)","(32.2416659, -117.0749123)","(32.3216659, -116.9949123)"
2,Baja California,Primo Tapia,,661,,,,"(32.222503, -116.9125163)","(32.182503, -116.9525163)","(32.262503, -116.8725163)"
2,Baja California,Puebla,,686,,,,"(32.5667587, -115.353244)","(32.5267587, -115.393244)","(32.6067587, -115.313244)"
2,Baja California,Punta Banda,,646,,,,,,
2,Baja California,Punta Cólonet,,616,,,,"(31.0661141, -116.2078705)","(31.0261141, -116.2478705)","(31.1061141, -116.1678705)"
2,Baja California,República Mexicana,,658,,,,"(32.6460784, -114.7979138)","(32.6260784, -114.8179138)","(32.6660784, -114.7779138)"
2,Baja California,Rosarito (Campo 30-06),,661,,,,,,
2,Baja California,Ruben Jaramillo,,616,,,,"(30.921873, -116.1289833)","(30.901873, -116.1489833)","(30.941873, -116.1089833)"
2,Baja California,Rumorosa,,686,,,,"(32.5245569, -116.0568687)","(32.4845569, -116.0968687)","(32.5645569, -116.0168687)"
2,Baja California,Saltillo,,658,,,,"(32.4249438, -115.1263157)","(32.4049438, -115.1463157)","(32.4449438, -115.1063157)"
2,Baja California,San Antonio del Mar,,666,,,,"(32.4234641, -117.0959217)","(32.4034641, -117.1159217)","(32.4434641, -117.0759217)"
2,Baja California,San Felipe,,686,,,,"(31.0269529, -114.839607)","(30.9869529, -114.879607)","(31.0669529, -114.799607)"
2,Baja California,San Quintín,,616,,,,"(30.5613719, -115.938162)","(30.5213719, -115.978162)","(30.6013719, -115.898162)"
2,Baja California,San Vicente,,646,,,,"(31.3253892, -116.2471159)","(31.2853892, -116.2871159)","(31.3653892, -116.2071159)"
2,Baja California,Santo Tomás,,646,,,,"(31.552872, -116.4085624)","(31.5445909, -116.4165999)","(31.5593594, -116.3982059)"
2,Baja California,Tecate,,665,,,,"(32.5653831, -116.6298787)","(32.5472999, -116.6617402)","(32.5792187, -116.5916173)"
2,Baja California,Tijuana,,666,,,,"(32.5010188, -116.964662)","(32.3410188, -117.124662)","(32.6610188, -116.804662)"
2,Baja California,Uruapan,,646,,,,"(31.6217651, -116.4411058)","(31.6017651, -116.4611058)","(31.6417651, -116.4211058)"
2,Baja California,Valle de la Trinidad,,646,,,,"(31.4036935, -115.7291715)","(31.3636935, -115.7691715)","(31.4436935, -115.6891715)"
2,Baja California,Valle de las Palmas,,646,,,,,,
2,Baja California,Venustiano Carranza,,616,,,,"(30.4017973, -115.8937325)","(30.3817973, -115.9137325)","(30.4217973, -115.8737325)"
2,Baja California,Vicente Guerrero,,616,,,,"(30.7300477, -115.9882242)","(30.6900477, -116.0282242)","(30.7700477, -115.9482242)"
2,Baja California,Vicente Guerrero (Algodones),,658,,,,"(32.7129388, -114.7340354)","(32.6729388, -114.7740354)","(32.7529388, -114.6940354)"
2,Baja California,Villa de Juárez,,646,,,,"(31.9678732, -116.6500801)","(31.9478732, -116.6700801)","(31.9878732, -116.6300801)"
2,Baja California,Villa Hermosa,,658,,,,"(32.638369, -114.9749672)","(32.618369, -114.9949672)","(32.658369, -114.9549672)"
3,Baja California Sur,Bahía Tortugas,,615,,,,"(27.6940398, -114.8985093)","(27.6540398, -114.9385093)","(27.7340398, -114.8585093)"
3,Baja California Sur,Buena Vista,,624,,,,"(23.0371979, -109.7196161)",,
3,Baja California Sur,Cabo del Sol,,624,,,,"(22.9147409, -109.8387981)",,
3,Baja California Sur,Cabo Real,,624,,,,"(22.9838195, -109.7639108)",,
3,Baja California Sur,Cabo San Lucas,,624,,,,"(22.8938884, -109.9200604)","(22.7338884, -110.0800604)","(23.0538884, -109.7600604)"
3,Baja California Sur,Chametla,,612,,,,"(24.0995588, -110.3746883)","(24.0595588, -110.4146883)","(24.1395588, -110.3346883)"
3,Baja California Sur,Ciudad Constitución,,613,,,,"(25.0321149, -111.6580455)","(24.8721149, -111.8180455)","(25.1921149, -111.4980455)"
3,Baja California Sur,Estero de la Bocana,,615,,,,"(26.7991997, -113.7111342)","(26.7791997, -113.7311342)","(26.8191997, -113.6911342)"
3,Baja California Sur,Guerrero Negro,,615,,,,"(27.9709506, -114.036389)","(27.9309506, -114.076389)","(28.0109506, -113.996389)"
3,Baja California Sur,Gustavo Díaz Ordaz,,615,,,,,,
3,Baja California Sur,Heroica Mulegé,,615,,,,"(26.891329, -111.982641)","(26.851329, -112.022641)","(26.931329, -111.942641)"
3,Baja California Sur,La Paz,,612,,,,"(24.1422841, -110.3126162)","(23.9822841, -110.4726162)","(24.3022841, -110.1526162)"
3,Baja California Sur,La Ribera,,624,,,,"(23.5933983, -109.5842219)","(23.5533983, -109.6242219)","(23.6333983, -109.5442219)"
3,Baja California Sur,Las Lagunitas,,624,,,,,,
3,Baja California Sur,Loreto,,613,,,,"(26.0097913, -111.3452523)","(25.9697913, -111.3852523)","(26.0497913, -111.3052523)"
3,Baja California Sur,Miraflores,,624,,,,"(23.36895, -109.776821)","(23.32895, -109.816821)","(23.40895, -109.736821)"
3,Baja California Sur,Nopoló,,613,,,,"(25.0219492, -111.6556245)","(25.0210706, -111.6560054)","(25.0229177, -111.6551659)"
3,Baja California Sur,Puerto Adolfo López Mateos,,613,,,,"(25.192307, -112.115762)","(25.152307, -112.155762)","(25.232307, -112.075762)"
3,Baja California Sur,Puerto San Carlos,,613,,,,"(24.789578, -112.107681)","(24.749578, -112.147681)","(24.829578, -112.067681)"
3,Baja California Sur,Punta Abreojos,,615,,,,"(26.7148509, -113.5737879)","(26.6948509, -113.5937879)","(26.7348509, -113.5537879)"
3,Baja California Sur,San Ignacio,,615,,,,"(27.2817706, -112.8953054)","(27.2617706, -112.9153054)","(27.3017706, -112.8753054)"
3,Baja California Sur,San José del Cabo,,624,,,,"(23.0598364, -109.7025148)","(22.8998364, -109.8625148)","(23.2198364, -109.5425148)"
3,Baja California Sur,San José Viejo,,624,,,,"(23.1191146, -109.7149969)","(23.0991146, -109.7349969)","(23.1391146, -109.6949969)"
3,Baja California Sur,Santa Rosalía,,615,,,,"(27.3364279, -112.2680462)","(27.2964279, -112.3080462)","(27.3764279, -112.2280462)"
3,Baja California Sur,Santiago,,624,,,,"(23.4813715, -109.7146004)","(23.4613715, -109.7346004)","(23.5013715, -109.6946004)"
3,Baja California Sur,Todos Santos,,612,,,,"(23.450067, -110.225374)","(23.410067, -110.265374)","(23.490067, -110.185374)"
3,Baja California Sur,Villa Alberto A. Alvarado A.,,615,,,,,,
3,Baja California Sur,Villa Insurgentes,,613,,,,"(25.7183258, -111.23321502881944)","(25.7179521, -111.2338)","(25.7187231, -111.2327168)"
4,Campeche,Bécal,,996,,,,"(20.4414731, -90.0283593)","(20.4014731, -90.0683593)","(20.4814731, -89.9883593)"
4,Campeche,Calkiní,,996,,,,"(20.4808634, -90.36711635347052)","(20.112753, -90.502646)","(20.8483273, -89.8379639)"
4,Campeche,Campeche,,981,,,,"(18.5043621, -90.533835)","(18.4843621, -90.553835)","(18.5243621, -90.513835)"
4,Campeche,Candelaria,,982,,,,"(18.1860719, -91.0431166)","(17.8124246, -91.3284181)","(18.5076902, -90.2355445)"
4,Campeche,Champotón,,982,,,,"(19.3439655, -90.7242742)","(19.3039655, -90.7642742)","(19.3839655, -90.6842742)"
4,Campeche,China,,981,,,,"(19.7689679, -90.4957175)","(19.7289679, -90.5357175)","(19.8089679, -90.4557175)"
4,Campeche,Ciudad del Carmen,,938,,,,"(18.651739, -91.81492)","(18.491739, -91.97492)","(18.811739, -91.65492)"
4,Campeche,División del Norte,,982,,,,"(18.5286541, -90.7659861)","(18.4886541, -90.8059861)","(18.5686541, -90.7259861)"
4,Campeche,Dzibalchén,,996,,,,"(19.4586733, -89.7300334)","(19.4186733, -89.7700334)","(19.4986733, -89.6900334)"
4,Campeche,Dzitbalché,,996,,,,"(20.3185903, -90.0565395)","(20.2785903, -90.0965395)","(20.3585903, -90.0165395)"
4,Campeche,Escárcega,,982,,,,"(18.606934, -90.7385823)","(18.5901201, -90.7713735)","(18.6253076, -90.7200234)"
4,Campeche,Hecelchakán,,996,,,,"(20.1774374, -90.1338849)","(20.1374374, -90.1738849)","(20.2174374, -90.0938849)"
